Date,Branch Name,# of drop,# of partial,Yesterday paid off #,Today disbursed #,# of irregular borrower,Virtual new borrower,Returning
12/10/2021,Jackson Heights,37,5,37,43,30,17,13
12/10/2021,Gates Avenue,26,35,22,9,12,28,8
12/10/2021,Manhattan,34,19,34,16,21,13,34
12/10/2021,Bronx,13,24,40,28,27,40,9
12/10/2021,Jamaica-LIC,19,10,15,30,6,20,37
12/10/2021,Sunset Park,20,26,12,20,19,22,42
12/10/2021,New York Area,149,119,160,146,115,140,143
12/10/2021,Union City,28,11,10,19,45,15,36
12/10/2021,Newark,35,38,10,46,37,32,45
12/10/2021,Chelsea-Boston,40,40,10,32,7,26,16
12/10/2021,Chicago,14,42,13,13,34,35,28
12/10/2021,Trenton/Camden,13,16,30,22,22,43,20
12/10/2021,Connecticut,45,14,39,41,26,39,36
12/10/2021,NE Area,175,161,112,173,171,190,181
12/10/2021,Omaha,31,23,14,26,38,20,6
12/10/2021,Indianapolis,11,43,39,19,49,6,7
12/10/2021,Charlotte,38,22,28,27,20,14,7
12/10/2021,Miami,30,48,21,44,5,22,40
12/10/2021,C&SE Area,330,311,253,330,309,291,277
12/10/2021,Oakland,30,32,46,15,23,48,44
12/10/2021,Boyle Heights,13,46,49,38,33,10,19
12/10/2021,Pico Union,34,47,45,16,32,29,49
12/10/2021,San Jose,40,10,48,50,7,42,20
12/10/2021,Long Beach,42,31,10,32,35,28,20
12/10/2021,Fresno,19,34,30,6,16,19,25
12/10/2021,CA Area,178,200,228,157,146,176,177
12/10/2021,Austin,38,37,17,37,7,37,34
12/10/2021,Houston,43,37,32,25,39,5,32
12/10/2021,San Antonio,37,25,9,13,46,8,28
12/10/2021,Texas Area,357,364,326,270,289,273,316
12/10/2021,Harlem,30,5,16,7,49,35,44
12/10/2021,BAI- Newark,40,10,13,8,48,35,14
12/10/2021,Memphis,38,43,7,38,18,10,25
12/10/2021,Elevate Area,545,484,403,361,489,366,459
12/10/2021,Grand Total,1734,1639,1482,1437,1519,1436,1553
12/9/2021,Jackson Heights,48,49,47,17,41,48,33
12/9/2021,Gates Avenue,17,20,30,42,6,37,49
12/9/2021,Manhattan,5,32,44,49,42,9,19
12/9/2021,Bronx,26,30,23,50,37,33,17
12/9/2021,Jamaica-LIC,40,47,39,15,41,46,38
12/9/2021,Sunset Park,32,42,17,10,35,36,42
12/9/2021,New York Area,168,220,200,183,202,209,198
12/9/2021,Union City,8,32,35,26,20,33,42
12/9/2021,Newark-,38,49,29,14,41,17,28
12/9/2021,Chelsea-Boston,35,30,14,23,32,18,45
12/9/2021,Chicago,46,43,22,35,17,49,20
12/9/2021,Trenton/Camden,43,5,30,49,15,40,30
12/9/2021,Connecticut,16,42,30,25,9,11,31
12/9/2021,NE Area,186,201,160,172,134,168,196
12/9/2021,Omaha,25,34,47,19,7,37,15
12/9/2021,Indianapolis,5,23,23,22,32,25,49
12/9/2021,Charlotte,48,28,16,9,50,35,37
12/9/2021,Miami,38,38,22,39,20,40,38
12/9/2021,C&SE Area,318,366,298,286,252,316,366
12/9/2021,Oakland,37,42,32,32,29,37,32
12/9/2021,Boyle Heights,37,40,22,23,32,41,21
12/9/2021,Pico Union,43,42,40,30,17,42,18
12/9/2021,San Jose,19,48,32,46,20,18,30
12/9/2021,Long Beach,48,35,13,13,10,20,10
12/9/2021,Fresno,11,42,10,42,41,39,5
